D:\FCM\sort original MDS42\2021.01.10\OS1 before sort_7.daf
All

Object Number	Area_M02	Aspect Ratio Intensity_M02_Ch02	Height_M02	Intensity_MC_Ch02	Length_M02	Width_M02
4063	6.22222222222222	0.683576318700322	3	1852.16666666666	3	2.33333333333333
4064	4.44444444444444	0.537819675125546	3	642.057692307691	3	2
4065	0	0	0	234.625	0	0
4066	5.77777777777778	0.715085292117486	3	1457.03571428572	3	2.33333333333333
4067	8.77777777777778	0.772092210644395	3.66666666666667	884.39423076923	3.66666666666667	3
4068	8.22222222222222	0.598159494525349	4	2336.18518518517	4	2.66666666666667
4069	5.77777777777778	0.61468905441255	2.66666666666667	1913.52380952381	2.66666666666667	2.33333333333333
4070	7.33333333333333	0.496281095764789	3.33333333333333	2593.06481481482	3.33333333333333	2.66666666666667
4071	5.33333333333333	0.594688509230878	2.66666666666667	1708.51785714285	2.66666666666667	2.33333333333333
4072	3.44444444444444	0.869008681311246	2	787.999999999999	2	2
4073	5.11111111111111	0.581732120368749	3	1371.5	3	2
4074	7.88888888888889	0.634755317041585	3.33333333333333	1696.40625	3.33333333333333	3
4075	3.77777777777778	0.686269598741918	2	1640.52272727273	2	2
4076	13.7777777777778	0.730453117001624	4	8327.33139534881	4	4
4077	12.6666666666667	0.890832804245158	4.33333333333333	4639.6976744186	4.33333333333333	4
4078	7.33333333333333	0.507674825056329	3.66666666666667	1881.375	3.66666666666667	2.66666666666667
4079	5.44444444444444	0.808970200179141	2.66666666666667	1400.1052631579	2.66666666666667	2.33333333333333
4080	9	0.949583857814714	3.33333333333333	2834.67241379309	3.33333333333333	3.33333333333333
4081	6.77777777777778	0.899883754081296	3	776.410714285712	3	2.66666666666667
4082	10	0.341861222481871	4.33333333333333	4775.40909090912	4.33333333333333	2.66666666666667
4083	4.77777777777778	0.957000689828967	2.33333333333333	2524.92592592592	2.33333333333333	2.33333333333333
4084	10.2222222222222	0.607834922495003	4.33333333333333	3355.00000000001	4.33333333333333	3
4085	7	0.772267202191391	3	1159.96428571429	3	2.66666666666667
4086	8.33333333333333	0.78966183041349	3.33333333333333	1949.225	3.33333333333333	3
4087	0	0	0	491.833333333334	0	0
4088	0	0	0	421.154761904761	0	0
4089	5.55555555555555	0.875300868586519	2.66666666666667	797.000000000001	2.66666666666667	2.66666666666667
4090	8.66666666666667	0.821431168967059	3.33333333333333	1350.03846153846	3.33333333333333	3.33333333333333
4091	11.6666666666667	0.516470458103753	4.33333333333333	3670.20000000001	4.33333333333333	3.33333333333333
4092	8.22222222222222	0.516921997120185	3.66666666666667	2155.77272727273	3.66666666666667	2.66666666666667
4093	9	0.511141274643564	4	2146.09375	4	2.66666666666667
4094	0	0	0	1211.67567567568	0	0
4095	11.2222222222222	0.618031850717607	4.33333333333333	4009.66517857142	4.33333333333333	3.33333333333333
4096	0	0	0	614.142857142856	0	0
4097	4.11111111111111	0.810002000420065	2.33333333333333	694.946428571429	2.33333333333333	2
4098	0	0	0	603.535714285715	0	0
4099	6.88888888888889	0.971263356688959	3	1999.68452380952	3	2.66666666666667
4100	5.22222222222222	0.803718575189435	2.66666666666667	798.833333333335	2.66666666666667	2.33333333333333
4101	11.1111111111111	0.743519666262272	4	1999.35975609755	4	3.33333333333333
4102	0	0	0	484.211206896552	0	0
4103	8.11111111111111	0.543968163906481	3.66666666666667	2197.84375	3.66666666666667	2.66666666666667
4104	6	0.59257928716722	3	2033.08928571428	3	2.33333333333333
4105	11.5555555555556	0.191459688777136	6	4628.28879310344	6	2.33333333333333
4106	6.22222222222222	0.913112433487293	3	761.124999999997	3	2.33333333333333
4107	7.33333333333333	0.427880633495167	3.66666666666667	2782.62053571429	3.66666666666667	2.33333333333333
4108	7.55555555555555	0.811758835973027	3.33333333333333	1214.14285714286	3.33333333333333	2.66666666666667
4109	11.3333333333333	0.331720690269122	5	3141.08333333334	5	3
4110	6.33333333333333	0.617600311613164	3	1632.02173913044	3	2.33333333333333
4111	0	0	0	543.339285714285	0	0
4112	3.55555555555556	0.847014763260039	2	902.142857142856	2	2
4113	8.11111111111111	0.321597242150585	4.33333333333333	3239.12068965517	4.33333333333333	2.33333333333333
4114	7.88888888888889	0.738789600904664	3.33333333333333	2300.03571428572	3.33333333333333	2.66666666666667
4115	5.66666666666667	0.679251832144296	3	1327.23214285714	3	2.33333333333333
4116	0	0	0	674.534482758621	0	0
4117	11.8888888888889	0.452626421069132	4.66666666666667	2864.07094594594	4.66666666666667	3
4118	12.6666666666667	0.690300350258688	4.33333333333333	1680.96739130434	4.33333333333333	3.66666666666667
4119	4.88888888888889	0.611585145125923	2.66666666666667	1661.28125	2.66666666666667	2
4120	7.88888888888889	0.476344831120405	3.33333333333333	2497.55172413793	3.33333333333333	2.66666666666667
4121	6.77777777777778	0.792336800222902	3	1265.125	3	2.66666666666667
4122	0	0	0	405.125	0	0
4123	7.88888888888889	0.390403179133632	4	3430.80357142858	4	2.33333333333333
4124	8.55555555555555	0.720691546989069	3.66666666666667	1313.375	3.66666666666667	3
4125	4.77777777777778	0.527684259107681	2.66666666666667	1111.49	2.66666666666667	2
4126	5.88888888888889	0.702347905291161	3	852.166666666667	3	2.33333333333333
4127	4	0.52854640611623	2.66666666666667	1777.97619047619	2.66666666666667	1.66666666666667
4128	4.44444444444444	0.847068361259627	2.33333333333333	1275.5625	2.33333333333333	2.33333333333333
4129	0	0	0	724.57142857143	0	0
4130	5.11111111111111	0.632569161800695	2.66666666666667	2225.0546875	2.66666666666667	2.33333333333333
4131	6.88888888888889	0.505879469825842	3.66666666666667	1690.76923076923	3.66666666666667	2.33333333333333
4132	7.33333333333333	0.429451942966376	3.66666666666667	3288.50595238094	3.66666666666667	2.33333333333333
4133	6.88888888888889	0.620391568698938	3	1754.64285714285	3	2.66666666666667
4134	6.22222222222222	0.617269094574632	3	1598.21982758621	3	2.33333333333333
4135	7.11111111111111	0.548624015883621	3.33333333333333	1908.7327586207	3.33333333333333	2.66666666666667
4136	7.33333333333333	0.871944904364211	3.33333333333333	773.809523809525	3.33333333333333	2.66666666666667
4137	0	0	0	379.660714285714	0	0
4138	5.22222222222222	0.830038134787574	2.33333333333333	1080.12878787879	2.33333333333333	2.33333333333333
4139	19.5555555555556	0.579612324010052	6.66666666666667	9716.2569444445	6.66666666666667	5
4140	5.55555555555555	0.917800708725816	2.66666666666667	1022.29761904762	2.66666666666667	2.66666666666667
4141	6.77777777777778	0.497479653396398	3.33333333333333	2297.81818181818	3.33333333333333	2.33333333333333
4142	5.11111111111111	0.667964686891771	2.66666666666667	1695.37931034483	2.66666666666667	2.33333333333333
4143	7.77777777777778	0.492051339243894	3.66666666666667	4423.82692307692	3.66666666666667	2.33333333333333
4144	1.77777777777778	0.544359685589858	2	436.9375	2	1
4145	2	0.509198781443725	2	306.346153846154	2	1
4146	5.22222222222222	0.644548166487808	2.66666666666667	1739.04464285714	2.66666666666667	2.33333333333333
4147	6.66666666666667	0.741302709042275	3	1168.84375	3	2.66666666666667
4148	8	0.505530762444848	3.66666666666667	3847.17241379312	3.66666666666667	2.66666666666667
4149	6.11111111111111	0.548935211462733	3.33333333333333	1969.65625	3.33333333333333	2.33333333333333
4150	0	0	0	257.25	0	0
4151	9.33333333333333	0.759345511895216	4	2601.75000000001	4	3
