D:\FCM\sort original MDS42\2021.01.10\OS1 before sort_7.daf
All

Object Number	Area_M02	Aspect Ratio Intensity_M02_Ch02	Aspect Ratio_M02	Height_M02	Intensity_MC_Ch02	Length_M02	Width_M02
4742	5.88888888888889	0.741545627280955	0.78470797672875	3	1540.45370370371	3	2.33333333333333
4743	10.2222222222222	0.719786466485847	0.815251698083629	3.66666666666667	1647.06081081081	3.66666666666667	3
4744	14.6666666666667	0.602158873064472	0.822395676461135	4.33333333333333	3684.5833333333	4.33333333333333	4.33333333333333
4745	0	0	0	0	408.059523809524	0	0
4746	5	0.819890821214392	0.828726351980937	2.66666666666667	1003.5	2.66666666666667	2.33333333333333
4747	5	0.737367600590597	0.74683420467836	2.66666666666667	842.504807692308	2.66666666666667	2
4748	7.66666666666667	0.432384007834604	0.646712444256652	3.66666666666667	2992.78448275863	3.66666666666667	2.66666666666667
4749	10	0.755075629665388	0.768256772164614	3.66666666666667	1865.12931034483	3.66666666666667	3.33333333333333
4750	0	0	0	0	823.796875	0	0
4751	8.66666666666667	0.491478671563038	0.62374496077064	4	1849.77232142857	4	3
4752	7.88888888888889	0.757895023250276	0.798584366078133	3.33333333333333	956.984375	3.33333333333333	2.66666666666667
4753	6.77777777777778	0.663393482125749	0.805756375020672	3	2813.80172413793	3	2.66666666666667
4754	0	0	0	0	515.333333333334	0	0
4755	6	0.645993002288652	0.715215814861486	3	1166	3	2.33333333333333
4756	6	0.798592159765227	0.869334035755016	2.66666666666667	1495.17045454546	2.66666666666667	2.66666666666667
4757	6.44444444444444	0.964592717414947	0.934495527289065	2.66666666666667	762.880952380955	2.66666666666667	2.66666666666667
4758	0	0	0	0	701.749999999999	0	0
4759	8.88888888888889	0.466175778717426	0.629719594688166	4	3269.73684210527	4	2.66666666666667
4760	0	0	0	0	982.140625	0	0
4761	5.88888888888889	0.471842744907405	0.630724929796055	3	2152.32352941177	3	2.33333333333333
4762	0	0	0	0	187.259259259259	0	0
4763	9.33333333333333	0.696860073162435	0.768314389513956	3.66666666666667	1580.59051724138	3.66666666666667	3
4764	9.33333333333333	0.371215475324883	0.601173394290523	4.33333333333333	4178.23148148148	4.33333333333333	2.66666666666667
4765	4.44444444444444	0.751731799996121	0.805920855521924	2.33333333333333	1047.49404761905	2.33333333333333	2.33333333333333
4766	9.22222222222222	0.789658536425417	0.860667247346802	3.33333333333333	2542.0564516129	3.33333333333333	3.33333333333333
4767	3.66666666666667	0.632890862102921	0.692934893940524	2.33333333333333	882.77155172414	2.33333333333333	1.66666666666667
4768	7.77777777777778	0.557303989996016	0.769666610325255	3.33333333333333	2789.75	3.33333333333333	2.66666666666667
4769	6	0.628880746794536	0.820281338062263	2.66666666666667	2128.28676470589	2.66666666666667	2.66666666666667
4770	4	0.661397611997362	0.734782930281683	2.33333333333333	481.314814814814	2.33333333333333	2
4771	12.7777777777778	0.627655410641059	0.729721113922123	4.33333333333333	2889.0285714286	4.33333333333333	3.33333333333333
4772	5.77777777777778	0.931492408105812	1	2.66666666666667	1835.44444444445	2.66666666666667	2.66666666666667
4773	4.77777777777778	0.59801545861475	0.740782735551556	2.66666666666667	575	2.66666666666667	2
4774	7.44444444444444	0.893793556881196	0.946239822375438	3	1309.63461538461	3	3
4775	12.4444444444444	0.555382575292883	0.631514287079974	4.66666666666667	2096.27272727273	4.66666666666667	3.33333333333333
4776	4.55555555555556	0.849331498334192	0.908583846689749	2.33333333333333	875.321428571427	2.33333333333333	2.33333333333333
4777	0	0	0	0	1482.63392857142	0	0
4778	4.22222222222222	0.756457922205832	0.851723602731726	2.33333333333333	477.261904761904	2.33333333333333	2
4779	6.33333333333333	0.564211484263024	0.675840881837342	3.33333333333333	1846	3.33333333333333	2.33333333333333
4780	13.1111111111111	0.394052584357807	0.638975109751751	4.66666666666667	4018.93103448277	4.66666666666667	3.33333333333333
4781	7.11111111111111	0.575472847931027	0.775276872464069	3.33333333333333	2228.22222222222	3.33333333333333	2.66666666666667
4782	9	0.699975379636427	0.746732126357023	3.66666666666667	1804.05263157895	3.66666666666667	3
4783	7.88888888888889	0.608378860906285	0.75697831701771	3.33333333333333	3571.66249999999	3.33333333333333	3
4784	5.66666666666667	0.599904402761582	0.751004832246613	3	2144.14351851852	3	2.33333333333333
4785	2.66666666666667	0.679208117530443	0.912870929175277	1.66666666666667	670.538461538462	1.66666666666667	1.66666666666667
4786	12.8888888888889	0.84800898036192	0.862996945999789	4.33333333333333	6519.62000000001	4.33333333333333	3.66666666666667
4787	5	0.734924791220223	0.822929100941383	2.66666666666667	1145.45833333333	2.66666666666667	2.33333333333333
4788	7.88888888888889	0.527895760321278	0.713467208547931	3.66666666666667	2134.15740740741	3.66666666666667	2.66666666666667
4789	2.88888888888889	0.26047456306247	0.350212687231755	3	331.399999999999	3	1.33333333333333
4790	5.77777777777778	0.559250874851785	0.663782653345055	3	1661.48076923077	3	2
4791	3.11111111111111	0.746590537569034	0.782884623301228	2	1621.05078125	2	1.66666666666667
4792	9.22222222222222	0.598014177950359	0.680502106861481	3.66666666666667	2086.9527027027	3.66666666666667	3
4793	12.4444444444444	0.712885732613749	0.769571199815463	4.33333333333333	2779.08620689654	4.33333333333333	3.33333333333333
4794	6	0.65362658741873	0.763252167639262	3	2473.10833333333	3	2.33333333333333
4795	5.44444444444444	0.560746381413823	0.662879265477818	3	1702.69230769231	3	2
4796	10.5555555555556	0.872656246105563	0.858161538306069	4	1151.66666666667	4	3.66666666666667
4797	8	0.56032535644894	0.743380706733219	3.66666666666667	2433.19696969696	3.66666666666667	2.66666666666667
4798	8.22222222222222	0.68991827466702	0.772570330255665	3.33333333333333	2254.73387096775	3.33333333333333	3
4799	9	0.505502859452903	0.701611774275094	3.66666666666667	3455.98387096773	3.66666666666667	3
4800	5.44444444444444	0.94202866917996	0.889612689883083	2.66666666666667	1435.92857142858	2.66666666666667	2.33333333333333
4801	5.33333333333333	0.579096332516528	0.67144730331973	3	1528.5	3	2
4802	6	0.623029606036893	0.720746238103124	3	1674.98275862068	3	2.33333333333333
4803	1.33333333333333	0.690002245280463	0.730296743340221	1.33333333333333	258.000000000001	1.33333333333333	1
4804	5	0.737107071115058	0.74683420467836	2.66666666666667	1321.25925925926	2.66666666666667	2
4805	2.66666666666667	0.862282580025241	0.912870929175277	1.66666666666667	1393.64285714286	1.66666666666667	1.66666666666667
4806	6	0.930720771619111	0.958676782907174	2.66666666666667	1070.03571428572	2.66666666666667	2.66666666666667
4807	7.44444444444444	0.864548023870854	0.906710945691746	3.33333333333333	2178.0925925926	3.33333333333333	2.66666666666667
4808	4.66666666666667	0.90193334740107	0.949089024567232	2.33333333333333	1053.03571428571	2.33333333333333	2.33333333333333
4809	6.22222222222222	0.767464571948937	0.738332173512031	3	749.964285714288	3	2.33333333333333
4810	4.88888888888889	0.762930737532358	0.826024634022722	2.66666666666667	1096.9880952381	2.66666666666667	2.33333333333333
4811	6.77777777777778	0.565855519510041	0.706775372713632	3.33333333333333	1887.10714285715	3.33333333333333	2.33333333333333
4812	5	0.929370549304701	0.895225957223382	2.66666666666667	1269.4880952381	2.66666666666667	2.33333333333333
4813	8.55555555555555	0.444029335504878	0.670773309654366	4	2058.26785714286	4	2.66666666666667
4814	4.33333333333333	0.682675368028575	0.808457684116169	2.33333333333333	838.323275862072	2.33333333333333	2
4815	12.1111111111111	0.559225940993533	0.675450845897303	4.33333333333333	4103.16860465116	4.33333333333333	3.33333333333333
4816	9.66666666666667	0.569940386988844	0.734983402970836	4	1866.39999999999	4	3
4817	9.33333333333333	0.316582435835572	0.50863260731078	4.66666666666667	4377.28571428571	4.66666666666667	2.33333333333333
4818	9.88888888888889	0.593846856532868	0.707325342550512	4	3215.16666666668	4	3
4819	5.33333333333333	0.733609206274517	0.831452674668923	2.66666666666667	1132.47619047619	2.66666666666667	2.33333333333333
4820	12.7777777777778	0.845268326266224	0.862517553378255	4.33333333333333	3509.60984848485	4.33333333333333	3.66666666666667
4821	9.44444444444444	0.33915690285658	0.588063308268257	4.33333333333333	3796.64705882352	4.33333333333333	2.66666666666667
4822	5	0.567506634137472	0.683463427810987	2.66666666666667	2066.76724137931	2.66666666666667	2.33333333333333
4823	7.44444444444444	0.572100039386609	0.722177514583028	3	2209.14224137931	3	3
4824	8	0.576337070907074	0.71144887326733	3.66666666666667	3613.796875	3.66666666666667	2.66666666666667
4825	5.22222222222222	0.830621516353576	0.822482966787472	2.66666666666667	790.333333333334	2.66666666666667	2.33333333333333
4826	8.66666666666667	0.805577578650166	0.845549803804586	3.33333333333333	965.42857142857	3.33333333333333	3
4827	4.77777777777778	0.704615094091552	0.842753535711163	2.33333333333333	1417.21428571429	2.33333333333333	2.33333333333333
4828	21.5555555555556	0.115836101943892	0.17323201676493	11.6666666666667	11653.1923076925	11.6666666666667	2.66666666666667
4829	2.33333333333333	0.689363605180347	0.701934021302851	1.66666666666667	1886.48	1.66666666666667	1.66666666666667
4830	5.33333333333333	0.583760231387172	0.65872336413985	3	2242.8141025641	3	2
4831	6.44444444444444	0.876892777527814	0.939987870398891	2.66666666666667	933.258620689653	2.66666666666667	2.66666666666667
4832	12.4444444444444	0.806276481006869	0.84119758410191	4.33333333333333	3961.65948275864	4.33333333333333	3.66666666666667
4833	5.33333333333333	0.581753692494601	0.666358590418035	3	1320.76190476191	3	2
4834	5.11111111111111	0.690361459602909	0.797038932827327	2.66666666666667	1053.42857142857	2.66666666666667	2.33333333333333
4835	0	0	0	0	730.278846153849	0	0
4836	7.33333333333333	0.635312263902047	0.757151073878181	3.33333333333333	2830.54310344827	3.33333333333333	2.66666666666667
4837	8.88888888888889	0.835523662452522	0.883140918351397	3.33333333333333	1360	3.33333333333333	3.33333333333333
4838	5.22222222222222	0.386886957247955	0.513041922464135	3.33333333333333	1048.61904761905	3.33333333333333	2
4839	7.33333333333333	0.441839601270387	0.609406455288653	3.66666666666667	3023.13461538461	3.66666666666667	2.33333333333333
4840	6	0.729748410079894	0.984571093107916	2.66666666666667	494.276785714286	2.66666666666667	2.66666666666667
4841	6.88888888888889	0.92004935860905	0.888719810812109	3	654.187500000001	3	2.66666666666667
4842	11.5555555555556	0.387921730674654	0.670354990886743	4.33333333333333	4171	4.33333333333333	3.33333333333333
4843	8.44444444444444	0.732332316786602	0.840004906149056	3.33333333333333	1249.93965517242	3.33333333333333	3
4844	0	0	0	0	472.946428571427	0	0
4845	6.77777777777778	0.678224435242288	0.817545421214889	3	2527.5	3	2.66666666666667
4846	13.4444444444444	0.866862183190002	0.881375049505862	4.66666666666667	1367.99999999999	4.66666666666667	3.66666666666667
4847	3.22222222222222	0.610379132221691	0.644847216065612	2.33333333333333	516.336206896553	2.33333333333333	1.66666666666667
4848	9	0.835814653001191	0.81239312434053	3.66666666666667	797.898148148149	3.66666666666667	3
